"industry","alpha","alpha_t","beta","beta_t","r_squared","n"
"NoDur",0.000452243813429879,0.249280079254731,0.644441318861349,15.9383341880329,0.587992048329954,180
"Durbl",-0.000945320347907155,-0.182062659450048,1.66739544751499,14.4087099490417,0.538394818035309,180
"Manuf",-0.00216458076275984,-1.56762881018764,1.06366380336511,34.5635572872834,0.870322833495715,180
"Enrgy",-0.00600339406280679,-1.33295267665212,1.19392700128184,11.8943377140011,0.442836372929949,180
"HiTec",0.00276877556010862,1.74343350996395,1.08218399466867,30.57478094887,0.840045611094123,180
"Telcm",-0.0015301485421015,-0.68599763810276,0.835359566914792,16.8037839735991,0.613352087034649,180
"Shops",0.002183261640234,1.46725454210371,0.937839185815534,28.2795610817871,0.817946315279284,180
"Hlth",0.00138810891983403,0.704622720269417,0.741629346310824,16.891359909752,0.615814656918226,180
"Utils",0.00234531753043998,0.921933251911011,0.502426752210808,8.86166231394279,0.306121494706195,180
"Other",-0.00153855481726778,-1.07138872071495,1.10199542934312,34.4317027334644,0.869457647794775,180
