"industry","n","mean_excess_return","sd_excess_return","mean_market_excess_return"
"NoDur",180,0.00744944444444445,0.0366900736994289,0.0108577777777778
"Durbl",180,0.0171588888888889,0.0992062671412412,0.0108577777777778
"Manuf",180,0.00938444444444445,0.0497754419067081,0.0108577777777778
"Enrgy",180,0.00696,0.0783262012997941,0.0108577777777778
"HiTec",180,0.0145188888888889,0.0515466689763501,0.0108577777777778
"Telcm",180,0.00754,0.0465660564031199,0.0108577777777778
"Shops",180,0.0123661111111111,0.0452706684966418,0.0108577777777778
"Hlth",180,0.00944055555555555,0.0412584424368557,0.0108577777777778
"Utils",180,0.00780055555555556,0.0396439368823684,0.0108577777777778
"Other",180,0.0104266666666667,0.0515948685248888,0.0108577777777778
